title,url,time_added,tags,status,content
Home | Open Knowledge Foundation,https://okfn.org/,1569213300,lod,unread,
XML Attributes,http://www.w3schools.com/xml/xml_attributes.asp,1452726391,xml,unread,
Man-Computer Symbiosis,https://groups.csail.mit.edu/medg/people/psz/Licklider.html,1720020200,,unread,
Math Worksheets at Math-Drills.com,https://www.math-drills.com/,1504019268,,unread,
Home | Home page |,https://www.houseofillustration.org.uk/,1598256528,,unread,
The Interactive Fiction Competition,https://ifcomp.org/,1725280182,,unread,
"Extract, transform, load - Wikipedia, the free encyclopedia","https://en.wikipedia.org/wiki/Extract,_transform,_load",1451429811,lavoro|test,unread,
Home | Frieze,https://www.frieze.com/,1636382420,sitifighi,unread,
OWL Web Ontology Language Guide,https://www.w3.org/TR/owl-guide/,1476875070,corsi,unread,
RDF 1.1 XML Syntax,https://www.w3.org/TR/rdf-syntax-grammar/,1526994976,rdf|xml,unread,
