title,url,time_added,tags,status,content
Jazz Departments: Skalpel's Top 10 Polish Jazz Albums - By Christopher Port,http://jazztimes.com/articles/16572-skalpel-s-top-10-polish-jazz-albums,1476881366,jazz|musica,unread,
"800 Free eBooks for iPad, Kindle & Other Devices | Open Culture",http://www.openculture.com/free_ebooks,1509470727,,unread,
Visio-Markdown.vsd,https://packetlife.net/media/library/16/Markdown.pdf,1580020308,,unread,
RA Podcast: RA.088 Andy Stott & Claro Intelecto,http://www.residentadvisor.net/podcast-episode.aspx?id=88,1451075573,,unread,
Pervasive Information Architecture | Designing Cross-Channel User Experienc,http://pervasiveia.com/,1461224566,,unread,
RA Poll: Top 50 mixes of the '00s,http://www.residentadvisor.net/feature.aspx?1143,1451074903,musica,unread,
Open Source Digital Asset Management,http://www.opensourcedigitalassetmanagement.org/,1508833955,dam,unread,
Why Reflect? - Reflection4Learning,https://sites.google.com/site/reflection4learning/why-reflect,1475265004,corsi,unread,
eJuice Recipe Calculator,http://www.todmuller.com/ejuice/ejuice.php,1485969570,,unread,
Trovabile - Architettura dell’informazione e user experience design,https://www.trovabile.org/,1661530338,,unread,
