title,url,time_added,tags,status,content
Quentin Blake - Official Home Page,https://www.quentinblake.com/,1609248857,disegno,unread,
The British Library Sound Archive | The British Library,https://sounds.bl.uk/,1688547577,archivi,unread,
Classical Net - Bach Cantatas - Listener's Guide,http://www.classical.net/music/comp.lst/works/bachjs/rateindx.php,1597929586,musica,unread,
Interviews: Neutral Milk Hotel | Features | Pitchfork,http://pitchfork.com/features/interviews/5847-neutral-milk-hotel/,1432210317,,unread,
Open Data Commons Open Database License (ODbL) | Open Data Commons,http://opendatacommons.org/licenses/odbl/,1450428058,lavoro,unread,
Time Value of Money Explained with Formula and Examples,https://www.investopedia.com/terms/t/timevalueofmoney.asp,1666688208,,unread,
Gantter | #1 Cloud-Based Project Management Software,https://www.gantter.com/,1542865336,,unread,
Time (Stanford Encyclopedia of Philosophy),https://plato.stanford.edu/entries/time/,1533654309,,unread,
TEI: Text Encoding Initiative,http://www.tei-c.org/index.xml,1477035430,corsi,unread,
"Classical Notes - Classical Classics - Bach's Brandenburg Concertos, By Pet",http://www.classicalnotes.net/classics2/brandenburg.html,1494274277,musica,unread,
