title,url,time_added,tags,status,content
"Paris Review - The Art of Fiction No. 84, Philip Roth",http://www.theparisreview.org/interviews/2957/the-art-of-fiction-no-84-philip-roth,1426781399,,unread,
Phraseanet,https://www.phraseanet.com/en/,1501169172,dam,unread,
"Paris Review - The Art of Poetry No. 42, Octavio Paz",http://www.theparisreview.org/interviews/2192/the-art-of-poetry-no-42-octavio-paz,1427814056,,unread,
Media Queries for Standard Devices | CSS-Tricks,https://css-tricks.com/snippets/css/media-queries-for-standard-devices/,1482130992,css,unread,
JSON-LD - JSON for Linking Data,https://json-ld.org/,1670409782,,unread,
Home | CIDOC CRM,http://www.cidoc-crm.org/,1488807854,xml,unread,
XML Schema Datatypes in RDF and OWL,https://www.w3.org/TR/swbp-xsch-datatypes/,1549018610,rdf|xml,unread,
Onironautica - Wikipedia,https://it.wikipedia.org/wiki/Onironautica,1479722353,,unread,
www.diffkit.org,http://www.diffkit.org/,1486461090,,unread,
4for4: Home of the Most Accurate Fantasy Football Rankings,https://www.4for4.com/,1600677398,,unread,
