title,url,time_added,tags,status,content
Textise - Text-Only and Accessibility Tools,https://www.textise.net/,1646920299,,unread,
"ePRICE.it: grandi elettrodomestici, elettronica, informatica, smartphone, T",https://www.eprice.it/,1532705572,,unread,
"What Happens at the End of Infinite Jest? (or, the Infinite Jest ending exp",http://www.aaronsw.com/weblog/ijend,1602312411,,unread,
Mercatino Usato Online - Vendita Usato - Mercatinousato.com,http://www.mercatinousato.com/,1426172021,,unread,
Archivists' Toolkit | For archivists by archivists,http://archiviststoolkit.org/,1489167891,xml,unread,
Game Programming Patterns,http://www.gameprogrammingpatterns.com/,1654593279,,unread,
http://everyonewhosanyone.com/eduk.html,http://everyonewhosanyone.com/eduk.html,1422270900,ibf,unread,
"The Gervais Principle, Or The Office According to “The Office”",https://www.ribbonfarm.com/2009/10/07/the-gervais-principle-or-the-office-according-to-the-office/,1723363514,,unread,
Spinoza's Psychological Theory (Stanford Encyclopedia of Philosophy),http://plato.stanford.edu/entries/spinoza-psychological/,1443605206,,unread,
Parmenides (Stanford Encyclopedia of Philosophy),https://plato.stanford.edu/entries/parmenides/,1491742157,,unread,
