title,url,time_added,tags,status,content
Awwwards - Website Awards - Best Web Design Trends,http://www.awwwards.com/,1450695797,corsi,unread,
Essays - Gwern.net,https://www.gwern.net/,1599737480,,unread,
Philosophical Disquisitions,http://philosophicaldisquisitions.blogspot.com/,1534238423,,unread,
Bottle: Python Web Framework — Bottle 0.13-dev documentation,https://bottlepy.org/docs/dev/,1667193573,,unread,
Think Stats: Probability and Statistics for Programmers,https://www.greenteapress.com/thinkstats/,1696393594,,unread,
Think Stats,https://www.greenteapress.com/thinkstats/html/index.html,1696393609,matematica,unread,
How to Make a Text Based Game (with Pictures) - wikiHow,https://www.wikihow.com/Make-a-Text-Based-Game,1636783023,,unread,
Learn by doing - Code School,https://www.codeschool.com/,1463145071,,unread,
Machinarium – Amanita Design,https://amanita-design.net/games/machinarium.html,1650812516,,unread,
Array - Wikipedia,https://it.wikipedia.org/wiki/Array,1467367448,,unread,
