title,url,time_added,tags,status,content
Modern art was CIA 'weapon' | The Independent,http://www.independent.co.uk/news/world/modern-art-was-cia-weapon-1578808.html,1493729260,,unread,
Vuoi utilizzare JSON ma non sai da dove iniziare? | Your Inspiration Web,http://www.yourinspirationweb.com/2010/03/12/vuoi-utilizzare-json-ma-non-sai-da-dove-iniziare/,1452166317,,unread,
Video Lectures | Introduction to Computer Science and Programming | Electri,http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-00-introduction-to-computer-science-and-programming-fall-2008/video-lectures/,1463146461,codice|corsi,unread,
Classical Notes - Classical Classics - Rachmaninoff -- Piano Concerto # 2 i,http://www.classicalnotes.net/classics2/rach2.html,1494429921,classica|musica,unread,
Classical Net - Basic Repertoire List - Brahms,http://www.classical.net/music/comp.lst/brahms.php,1492504262,classica|musica,unread,
A Direct Mapping of Relational Data to RDF,https://www.w3.org/TR/rdb-direct-mapping/,1532077515,rdf,unread,
Slides.pdf,https://www.w3.org/People/Ivan/CorePresentations/SWTutorial/Slides.pdf,1496845568,rdf,unread,
News | Beats in Space,http://www.beatsinspace.net/news#hype-machine-is-streaming-the-new-bis-01-20-two-cd-compilation,1461137892,,unread,
Organizzazione immagini - Programmi per gestire e organizzare le immagini d,http://www.mooseek.com/software/grafica/organizzare.htm,1501169457,dam,unread,
Digital Preservation Metadata Standards,https://www.loc.gov/standards/premis/FE_Dappert_Enders_MetadataStds_isqv22no2.pdf,1589813797,archivi,unread,
