title,url,time_added,tags,status,content
"Calculus - Wikibooks, open books for an open world",https://en.wikibooks.org/wiki/Calculus,1722879883,,unread,
Resource Description Framework - Wikipedia,https://it.wikipedia.org/wiki/Resource_Description_Framework,1465221396,,unread,
Wikipedia:Creating a bot - Wikipedia,https://en.wikipedia.org/wiki/Wikipedia:Creating_a_bot,1506632885,bot,unread,
http://www.w3schools.com/JS/js_functions.asp,http://www.w3schools.com/JS/js_functions.asp,1475177371,,unread,
Carlo Michelstaedter - Wikipedia,https://it.wikipedia.org/wiki/Carlo_Michelstaedter,1496737058,ricerche,unread,
hattrick youthclub,https://www.hattrick-youthclub.org/,1584527535,,unread,
"Brides - Wedding Ideas, Planning & Inspiration",https://www.brides.com/,1636120821,,unread,
100 novels everyone should read - Telegraph,http://www.telegraph.co.uk/culture/books/4248401/100-novels-everyone-should-read.html,1434056103,,unread,
Open Archives Initiative,https://www.openarchives.org/,1522833542,xml,unread,
The Music Ontology,http://musicontology.com/,1524234529,lod,unread,
