title,url,time_added,tags,status,content
SPARQL by Example | Cambridge Semantics,http://www.cambridgesemantics.com/semantic-university/sparql-by-example,1496845738,sparql,unread,
Events  |  Google Maps JavaScript API  |  Google Developers,https://developers.google.com/maps/documentation/javascript/events,1480440255,,unread,
Compare 2 files or sheets of data in Excel - How to | Chandoo.org - Learn M,http://chandoo.org/wp/2012/04/16/compare-2-excel-files-sheets-howto/,1455188137,,unread,
Digital Negative - Wikipedia,https://en.wikipedia.org/wiki/Digital_Negative,1699370527,,unread,
Pocket: Il mio elenco,https://getpocket.com/a/queue/list/,1542885310,jazz|musica,unread,
Are.na,https://www.are.na/,1626352555,,unread,
Draw a city block in 2 point perspective. Art lesson.,https://juliannakunstler.com/art1_2pt_city.html,1542641936,,unread,
D2R Server | The D2RQ Platform,http://d2rq.org/d2r-server,1549472549,rdf,unread,
Nuove Giovanili (aggiornato 2020) – Hat Tips Db,https://nrgjack.altervista.org/wordpress/2011/07/05/giovanili/,1612597565,,unread,
Yammie's Noshery: Caramel Toffee Crunch Cheesecake,http://www.yammiesnoshery.com/2012/04/caramel-toffee-crunch-cheesecake.html#more,1435920265,cucina,unread,
