title,url,time_added,tags,status,content
List of ISO 639-1 codes - Wikipedia,https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes,1528295978,,unread,
LONG NOW — fostering long term thinking,https://longnow.org/,1677748232,,unread,
Ultimate Flash Face v0.42b,http://flashface.ctapt.de/,1450301656,,unread,
"MapReduce - Wikipedia, the free encyclopedia",https://en.wikipedia.org/wiki/MapReduce,1469596416,dati,unread,
Nuoto tecnica stile libero (crawl),http://www.nuotomania.it/nuototecnica1.html,1427750655,,unread,
"The LibriVox Free Audiobook Collection : Free Audio : Free Download, Borrow",https://archive.org/details/librivoxaudio,1686906279,,unread,
"EAD: Encoded Archival Description (EAD Official Site, Library of Congress)",https://www.loc.gov/ead/,1487090378,,unread,
dokuwiki [DokuWiki],https://www.dokuwiki.org/dokuwiki,1672294055,,unread,
SQLite Query Language: CREATE TABLE,https://www.sqlite.org/lang_createtable.html,1450194675,corsi,unread,
"FastStone Image Viewer - Powerful and Intuitive Photo Viewer, Editor and Ba",http://www.faststone.org/download.htm,1551720501,,unread,
