title,url,time_added,tags,status,content
XML Tutorial,http://www.w3schools.com/xml/default.asp,1452725421,corsi|xml,unread,
http://www.rickygervais.com/thissideofthetruth.php,http://www.rickygervais.com/thissideofthetruth.php,1410007491,,unread,
RDF - Semantic Web Standards,https://www.w3.org/RDF/,1488808025,xml,unread,
RDF/XML Syntax Specification (Revised),https://www.w3.org/TR/REC-rdf-syntax/,1531385099,rdf|xml,unread,
Python Basics,http://www.astro.ufl.edu/~warner/prog/python.html,1505894715,corsi|python,unread,
HTML Reference,http://www.w3schools.com/tags/default.asp,1449660183,corsi,unread,
Toolness,https://www.toolness.com/wp/?p=54,1611313665,,unread,
Study Hacks - Decoding Patterns of Success - Cal Newport,https://www.calnewport.com/blog/,1613988793,,unread,
European radio stations streaming live on the internet - listenlive.eu,http://www.listenlive.eu/,1555824147,,unread,
Welcome to Open Library | Open Library,https://openlibrary.org/,1574264134,,unread,
